suffix,count
.a,14
.ast.json,167
.builtins.a,1
.c,169
.c.hash,169
.c.o.export,15
.c.o.export.hash,15
.c.o.export.trace,15
.code-snippets,1
.crtbegin.o,1
.crtend.o,1
.dep_paths,167
.expected.lean,2
.h,32
.hash,1
.idx,1
.ilean,1686
.ilean.hash,169
.json,3
.lean,1871
.lld,1
.md,6
.mk,1
.modules.json,1
.o,6
.olean,1686
.olean.hash,169
.olean.private,302
.olean.server,302
.pack,1
.sample,13
.sh,4
.so,20
.so.1,6
.so.1.0,3
.so.1.2.0,1
.so.1.2.11,1
.so.19.1,2
.toml,3
.trace,170
.trace.xml,167
.tsv,3
.txt,1
.yml,12
<no_suffix>,25
